Time (s),CPU (%),MEM (KB),Bandwidth (KB/s),Bandwidth Utilization (%),Open Sockets,exp_dir,experiment,categories,rps
6,3846.0,139836,17407.5,1.36,7,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
11,3960.0,219588,18693.1,1.46,6,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
16,3626.0,308048,18313.8,1.43,5,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
21,3908.0,397600,10564.3,0.83,4,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
27,3987.0,471320,13175.9,1.03,3,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
32,3633.0,572704,16153.7,1.26,5,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
37,3987.0,660872,7753.31,0.61,7,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
43,4000.0,708904,0.0,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
48,3993.0,714568,0.0,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
53,3994.0,724124,0.0,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
59,3989.0,726724,4638.12,0.36,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
64,3974.0,770400,17621.0,1.38,5,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
69,3984.0,925848,17866.1,1.4,2,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
75,3067.0,1075984,15005.5,1.17,5,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
80,3829.0,2097544,20288.8,1.59,11,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
85,3961.0,1333512,18892.8,1.48,1,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
90,3993.0,1480656,17928.6,1.4,5,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
96,3989.0,1629668,18002.3,1.41,2,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
101,3990.0,1728664,11521.9,0.9,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
106,3993.0,1812132,0.0,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
112,3994.0,1812132,0.0,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
117,3967.0,1812132,12.37,0.0,10,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
0,3909.0,28744,17866.8,1.4,3,experiments/oha/oha-6,oha-6,['disable-keepalive'],
5,3846.0,142144,17611.8,1.38,5,experiments/oha/oha-6,oha-6,['disable-keepalive'],
11,3640.0,218960,33524.0,2.62,5,experiments/oha/oha-6,oha-6,['disable-keepalive'],
16,3661.0,317564,18526.2,1.45,4,experiments/oha/oha-6,oha-6,['disable-keepalive'],
21,3963.0,404040,9048.44,0.71,4,experiments/oha/oha-6,oha-6,['disable-keepalive'],
26,4000.0,470700,3511.5,0.27,7,experiments/oha/oha-6,oha-6,['disable-keepalive'],
32,3639.0,561896,3305.35,0.26,10,experiments/oha/oha-6,oha-6,['disable-keepalive'],
37,3996.0,655440,4940.24,0.39,4,experiments/oha/oha-6,oha-6,['disable-keepalive'],
42,3981.0,737140,11080.8,0.87,10,experiments/oha/oha-6,oha-6,['disable-keepalive'],
48,3987.0,826564,14652.0,1.14,4,experiments/oha/oha-6,oha-6,['disable-keepalive'],
53,4000.0,909244,0.0,0.0,10,experiments/oha/oha-6,oha-6,['disable-keepalive'],
58,3979.0,916548,4650.08,0.36,10,experiments/oha/oha-6,oha-6,['disable-keepalive'],
64,3978.0,985436,14911.1,1.16,1,experiments/oha/oha-6,oha-6,['disable-keepalive'],
69,3235.0,1126956,13551.8,1.06,2,experiments/oha/oha-6,oha-6,['disable-keepalive'],
74,3602.0,1246276,31701.7,2.48,7,experiments/oha/oha-6,oha-6,['disable-keepalive'],
80,3979.0,1362448,14897.2,1.16,2,experiments/oha/oha-6,oha-6,['disable-keepalive'],
85,3995.0,1446892,5806.69,0.45,9,experiments/oha/oha-6,oha-6,['disable-keepalive'],
0,1139.0,24208,150155.0,11.73,50,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
6,1150.0,203492,150726.0,11.78,43,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
11,1180.0,371448,154802.0,12.09,43,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
16,1103.0,536180,139438.0,10.89,47,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
21,1189.0,690056,153257.0,11.97,48,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
26,1158.0,877448,160741.0,12.56,48,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
32,1173.0,1047972,158737.0,12.4,41,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
37,1013.0,1169868,129608.0,10.13,45,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
42,1160.0,1360364,164593.0,12.86,48,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
47,1150.0,1543104,173026.0,13.52,45,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
52,1180.0,1718984,162206.0,12.67,48,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
58,1040.0,1890332,95029.0,7.42,47,experiments/oha/oha-1,oha-1,['time-based-rps-increase'],174445.1054
